,gamma,true_positives,false_positives,false_negatives,true_negatives,error
0,9.357622968840175e-14,1.0,1.0,0.0,0.0,0.35
1,9.936862847764411e-14,1.0,1.0,0.0,0.0,0.35
2,1.0551957861956802e-13,1.0,1.0,0.0,0.0,0.35
3,1.1205127455851122e-13,1.0,1.0,0.0,0.0,0.35
4,1.1898728458207205e-13,1.0,1.0,0.0,0.0,0.35
5,1.263526358624502e-13,1.0,1.0,0.0,0.0,0.35
6,1.3417390476187404e-13,1.0,1.0,0.0,0.0,0.35
7,1.4247931272796275e-13,1.0,1.0,0.0,0.0,0.35
8,1.5129882812504254e-13,1.0,1.0,0.0,0.0,0.35
9,1.6066427436885404e-13,1.0,1.0,0.0,0.0,0.35
10,1.7060944475483295e-13,1.0,1.0,0.0,0.0,0.35
11,1.8117022439429829e-13,1.0,1.0,0.0,0.0,0.35
12,1.9238471969853012e-13,1.0,1.0,0.0,0.0,0.35
13,2.0429339587795325e-13,1.0,1.0,0.0,0.0,0.35
14,2.1693922295256485e-13,1.0,1.0,0.0,0.0,0.35
15,2.303678308004547e-13,1.0,1.0,0.0,0.0,0.35
16,2.446276738038786e-13,1.0,1.0,0.0,0.0,0.35
17,2.59770205686977e-13,1.0,1.0,0.0,0.0,0.35
18,2.7585006517600473e-13,1.0,1.0,0.0,0.0,0.35
19,2.929252731519888e-13,1.0,1.0,0.0,0.0,0.35
20,3.1105744200719934e-13,1.0,1.0,0.0,0.0,0.35
21,3.3031199796085356e-13,1.0,1.0,0.0,0.0,0.35
22,3.5075841713623324e-13,1.0,1.0,0.0,0.0,0.35
23,3.724704762510525e-13,1.0,1.0,0.0,0.0,0.35
24,3.955265188256395e-13,1.0,1.0,0.0,0.0,0.35
25,4.2000973786949083e-13,1.0,1.0,0.0,0.0,0.35
26,4.460084760662145e-13,1.0,1.0,0.0,0.0,0.35
27,4.736165445400181e-13,1.0,1.0,0.0,0.0,0.35
28,5.02933561353945e-13,1.0,1.0,0.0,0.0,0.35
29,5.340653109612602e-13,1.0,1.0,0.0,0.0,0.35
30,5.671241259069939e-13,1.0,1.0,0.0,0.0,0.35
31,6.022292921569327e-13,1.0,1.0,0.0,0.0,0.35
32,6.395074795166064e-13,1.0,1.0,0.0,0.0,0.35
33,6.790931986933489e-13,1.0,1.0,0.0,0.0,0.35
34,7.211292866506479e-13,1.0,1.0,0.0,0.0,0.35
35,7.657674220060858e-13,1.0,1.0,0.0,0.0,0.35
36,8.131686723325784e-13,1.0,1.0,0.0,0.0,0.35
37,8.635040753377376e-13,1.0,1.0,0.0,0.0,0.35
38,9.169552560184238e-13,1.0,1.0,0.0,0.0,0.35
39,9.73715082017364e-13,1.0,1.0,0.0,0.0,0.35
40,1.0339883595465554e-12,1.0,1.0,0.0,0.0,0.35
41,1.0979925723885534e-12,1.0,1.0,0.0,0.0,0.35
42,1.1659586666421762e-12,1.0,1.0,0.0,0.0,0.35
43,1.238131884044222e-12,1.0,1.0,0.0,0.0,0.35
44,1.314772646874069e-12,1.0,1.0,0.0,0.0,0.35
45,1.3961574976341576e-12,1.0,1.0,0.0,0.0,0.35
46,1.4825800968969925e-12,1.0,1.0,0.0,0.0,0.35
47,1.5743522829192016e-12,1.0,1.0,0.0,0.0,0.35
48,1.6718051968460425e-12,1.0,1.0,0.0,0.0,0.35
49,1.7752904775664341e-12,1.0,1.0,0.0,0.0,0.35
50,1.885181530529897e-12,1.0,1.0,0.0,0.0,0.35
51,2.0018748751036724e-12,1.0,1.0,0.0,0.0,0.35
52,2.1257915753316837e-12,1.0,1.0,0.0,0.0,0.35
53,2.2573787592579354e-12,1.0,1.0,0.0,0.0,0.35
54,2.3971112322965206e-12,1.0,1.0,0.0,0.0,0.35
55,2.5454931904697574e-12,1.0,1.0,0.0,0.0,0.35
56,2.7030600396963108e-12,1.0,1.0,0.0,0.0,0.35
57,2.8703803276938396e-12,1.0,1.0,0.0,0.0,0.35
58,3.048057795467043e-12,1.0,1.0,0.0,0.0,0.35
59,3.236733555783473e-12,1.0,1.0,0.0,0.0,0.35
60,3.4370884064977038e-12,1.0,1.0,0.0,0.0,0.35
61,3.649845287071017e-12,1.0,1.0,0.0,0.0,0.35
62,3.875771887150444e-12,1.0,1.0,0.0,0.0,0.35
63,4.115683416619688e-12,1.0,1.0,0.0,0.0,0.35
64,4.370445547117104e-12,1.0,1.0,0.0,0.0,0.35
65,4.640977535634573e-12,1.0,1.0,0.0,0.0,0.35
66,4.9282555414681705e-12,1.0,1.0,0.0,0.0,0.35
67,5.233316148489137e-12,1.0,1.0,0.0,0.0,0.35
68,5.5572601054445655e-12,1.0,1.0,0.0,0.0,0.35
69,5.901256297783909e-12,1.0,1.0,0.0,0.0,0.35
70,6.266545965342818e-12,1.0,1.0,0.0,0.0,0.35
71,6.6544471811029815e-12,1.0,1.0,0.0,0.0,0.35
72,7.066359607188637e-12,1.0,1.0,0.0,0.0,0.35
73,7.503769545260803e-12,1.0,1.0,0.0,0.0,0.35
74,7.968255299532538e-12,1.0,1.0,0.0,0.0,0.35
75,8.461492871756577e-12,1.0,1.0,0.0,0.0,0.35
76,8.985262008734537e-12,1.0,1.0,0.0,0.0,0.35
77,9.5414526241689e-12,1.0,1.0,0.0,0.0,0.35
78,1.0132071618029681e-11,1.0,1.0,0.0,0.0,0.35
79,1.0759250118042128e-11,1.0,1.0,0.0,0.0,0.35
80,1.142525116942481e-11,1.0,1.0,0.0,0.0,0.35
81,1.2132477900624996e-11,1.0,1.0,0.0,0.0,0.35
82,1.2883482194515673e-11,1.0,1.0,0.0,0.0,0.35
